timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1548.989120,0.152344,0.529297,9.641602,-0.253662,-1.189941,0.192383
1548.998441,-0.239258,0.304688,9.752930,-0.201172,-1.041016,0.078613
1549.007761,0.164062,0.304688,9.612305,0.201416,-1.364990,0.139893
1549.017082,0.076172,0.529297,9.760742,0.428955,-1.207275,0.069824
1549.026402,-0.030273,0.413086,9.807617,0.210205,-1.058594,0.078613
1549.035723,0.182617,0.384766,9.575195,0.253906,-1.119873,0.227295
1549.045043,0.102539,0.632812,9.625977,0.402588,-0.857422,0.183594
1549.054363,-0.043945,0.532227,9.854492,0.341309,-0.699951,0.052490
1549.063684,0.198242,0.648438,9.778320,0.306396,-0.542480,0.227295
1549.073004,0.118164,0.588867,9.959961,0.052734,-0.288574,0.244873
1549.082325,0.078125,0.468750,9.818359,-0.139893,-0.069824,0.131104
1549.091645,0.131836,0.344727,9.922852,-0.078613,0.157715,0.236084
1549.100966,0.035156,0.456055,9.933594,0.105225,0.376465,0.157471
1549.110286,0.188477,0.492188,9.860352,0.411377,0.533936,0.183594
1549.119606,0.013672,0.388672,9.779297,0.472656,0.752686,0.096191
1549.128927,0.035156,0.367188,9.849609,0.673828,0.848877,0.069824
1549.138247,-0.042969,0.322266,10.225586,0.857666,1.067627,0.227295
1549.147568,0.076172,0.759766,10.145508,1.111328,1.032715,0.061035
1549.156888,-0.083008,0.301758,10.235352,0.805176,1.111328,0.078613
1549.166209,0.124023,0.458008,9.877930,0.927734,0.988770,0.104980
1549.175529,-0.219727,0.638672,10.333984,1.041260,1.216309,0.218506
1549.184849,0.100586,0.550781,10.065430,0.621338,0.945068,0.017334
1549.194170,0.051758,0.277344,9.956055,0.787598,1.015137,0.078613
1549.203490,-0.024414,0.362305,9.913086,1.032715,1.190186,0.157471
1549.212811,-0.038086,0.482422,9.959961,1.093750,1.207520,0.078613
1549.222131,-0.049805,0.420898,10.091797,1.225098,1.277588,0.052490
1549.231452,-0.038086,0.633789,10.225586,1.260010,1.198975,0.131104
1549.240772,-0.133789,0.500977,10.340820,1.198975,1.041260,0.122314
1549.250092,-0.110352,0.666016,10.357422,1.242676,0.735107,0.008545
1549.259413,-0.175781,0.560547,10.185547,0.953857,0.542725,0.131104
1549.268733,-0.051758,0.767578,10.094727,0.647705,0.280029,0.122314
1549.278054,-0.123047,0.660156,10.052734,0.262695,0.122559,0.271240
1549.287374,-0.080078,0.638672,10.003906,-0.096191,-0.096191,0.227295
1549.296694,-0.166992,0.802734,10.280273,-0.323730,-0.271240,0.148682
1549.306015,0.030273,0.809570,10.085938,-0.594971,-0.507324,0.209961
1549.315335,-0.209961,0.689453,10.208008,-0.769775,-0.516113,0.183594
1549.324656,0.018555,0.632812,9.716797,-0.848633,-0.848633,0.139893
1549.333976,-0.120117,0.800781,10.092773,-0.761230,-0.743652,0.139893
1549.343297,-0.132812,0.623047,10.051758,-0.953613,-0.944824,0.174805
1549.352617,0.048828,0.864258,10.176758,-0.936035,-1.041016,0.113525
1549.361937,-0.017578,0.772461,10.145508,-1.006104,-1.049805,0.139893
1549.371258,-0.044922,0.845703,10.086914,-1.189941,-1.067383,0.069824
1549.380578,0.018555,0.756836,10.001953,-1.452393,-0.997314,0.157471
1549.389899,0.012695,0.722656,9.985352,-1.636230,-0.953613,0.148682
1549.399219,0.030273,0.544922,9.844727,-1.566162,-0.909912,0.174805
1549.408540,-0.228516,0.340820,10.098633,-1.347412,-0.796143,0.218506
1549.417860,0.135742,0.771484,9.866211,-0.901123,-1.172363,0.034912
1549.427180,-0.123047,0.458008,10.242188,-0.936035,-0.988525,0.183594
1549.436501,0.061523,0.603516,9.959961,-0.874756,-1.172363,0.209961
1549.445821,-0.022461,0.498047,10.083984,-0.874756,-0.979980,0.227295
1549.455142,0.092773,0.657227,9.908203,-1.006104,-0.874756,0.087402
1549.464462,0.055664,0.460938,10.039062,-1.058594,-0.612305,0.148682
1549.473783,0.012695,0.571289,9.901367,-1.111084,-0.577393,0.052490
1549.483103,0.158203,0.571289,9.983398,-1.303711,-0.393555,0.139893
1549.492423,-0.115234,0.754883,10.013672,-1.434814,-0.218506,0.043701
1549.501744,0.037109,0.625977,9.951172,-1.741211,-0.218506,-0.035156
1549.511064,0.094727,0.726562,9.897461,-1.994873,-0.113525,-0.035156
1549.520385,0.012695,0.613281,10.055664,-2.134766,-0.034912,0.008545
1549.529705,-0.048828,0.699219,9.957031,-2.099854,0.078857,-0.096436
1549.539025,0.193359,0.575195,9.781250,-2.143555,0.201416,-0.061279
1549.548346,0.025391,0.570312,9.884766,-2.064941,0.411377,-0.087646
1549.557666,-0.080078,0.657227,9.810547,-2.021240,0.481445,-0.078857
1549.566987,0.153320,0.438477,9.757812,-1.889893,0.551270,-0.052734
1549.576307,-0.093750,0.613281,9.893555,-1.819824,0.735107,-0.131348
1549.585628,0.096680,0.496094,9.702148,-1.784912,0.665039,-0.140137
1549.594948,0.123047,0.502930,9.636719,-1.819824,0.840088,-0.122559
1549.604268,-0.060547,0.322266,9.741211,-1.706055,0.971436,-0.061279
1549.613589,-0.000977,0.518555,9.716797,-1.504883,1.067627,-0.131348
1549.622909,0.126953,0.441406,9.764648,-1.452393,1.233887,-0.078857
1549.632230,-0.088867,0.377930,9.869141,-1.513672,1.277588,-0.087646
1549.641550,0.139648,0.367188,9.537109,-1.461182,1.198975,-0.026367
1549.650871,-0.084961,0.474609,9.791992,-1.338623,1.583984,-0.096436
1549.660191,-0.023438,0.293945,9.678711,-1.391113,1.452637,-0.148926
1549.669511,-0.010742,0.458008,9.763672,-1.154785,1.548828,-0.061279
1549.678832,0.049805,0.333008,9.580078,-1.076172,1.513916,-0.017578
1549.688152,-0.146484,0.328125,9.971680,-0.979980,1.671387,-0.052734
1549.697473,0.097656,0.441406,9.608398,-0.944824,1.461426,0.061035
1549.706793,-0.146484,0.321289,9.901367,-0.796143,1.653809,0.157471
1549.716114,0.035156,0.336914,9.521484,-0.804932,1.540039,0.096191
1549.725434,-0.178711,0.215820,9.926758,-0.603516,1.688965,0.104980
1549.734754,-0.073242,0.408203,9.909180,-0.323730,1.513916,0.113525
1549.744075,-0.035156,0.323242,9.810547,-0.306152,1.391357,0.087402
1549.753395,-0.140625,0.208008,9.856445,-0.314941,1.426270,0.166016
1549.762716,-0.025391,0.335938,9.708008,-0.078613,1.251465,0.148682
1549.772036,-0.025391,0.218750,9.627930,0.140137,1.251465,0.166016
1549.781356,-0.007812,0.083984,9.519531,0.472656,1.198975,0.174805
1549.790677,-0.096680,0.195312,9.370117,0.918945,1.155029,0.192383
1549.799997,0.079102,0.392578,9.341797,1.015137,1.233887,0.113525
1549.809318,-0.077148,0.476562,9.605469,0.901367,1.347656,0.148682
1549.818638,-0.029297,0.357422,9.430664,0.822510,1.120117,0.236084
1549.827959,0.014648,0.418945,9.389648,0.796387,1.198975,0.227295
1549.837279,-0.067383,0.498047,9.531250,0.656250,1.312500,0.174805
1549.846599,-0.038086,0.458984,9.659180,0.490234,1.260010,0.218506
1549.855920,-0.029297,0.507812,9.514648,0.402588,1.260010,0.174805
1549.865240,-0.098633,0.434570,9.690430,0.341309,1.233887,0.236084
1549.874561,-0.123047,0.576172,9.833984,0.323975,1.207520,0.192383
1549.883881,-0.069336,0.482422,9.811523,0.227539,1.023926,0.209961
1549.893202,-0.134766,0.609375,9.789062,0.175049,0.988770,0.148682
1549.902522,-0.024414,0.547852,9.656250,0.052734,0.910156,0.157471
1549.911842,-0.208984,0.560547,9.780273,-0.034912,0.918945,0.218506
1549.921163,0.044922,0.364258,9.787109,0.052734,0.735107,0.174805
1549.930483,-0.087891,0.577148,9.767578,0.122559,0.822510,0.096191
1549.939804,-0.125977,0.661133,9.712891,0.122559,0.822510,0.131104
1549.949124,-0.001953,0.475586,9.723633,0.026367,0.752686,0.069824
1549.958445,-0.090820,0.613281,9.896484,0.052734,0.901367,0.157471
1549.967765,0.024414,0.619141,9.768555,0.008789,0.901367,0.104980
1549.977085,-0.143555,0.401367,9.791016,-0.139893,0.910156,0.122314
1549.986406,-0.077148,0.578125,9.802734,-0.052490,0.918945,0.192383
1549.995726,-0.023438,0.625000,9.834961,0.113770,0.883789,0.026123
1550.005047,-0.215820,0.460938,9.866211,0.096436,0.840088,0.026123
1550.014367,-0.067383,0.432617,9.778320,0.061279,0.595215,0.131104
1550.023687,-0.132812,0.627930,10.055664,0.000000,0.647705,0.201172
1550.033008,-0.215820,0.591797,10.093750,-0.192383,0.490234,0.148682
1550.042328,-0.136719,0.540039,10.015625,-0.192383,0.148926,-0.017578
1550.051649,-0.219727,0.505859,10.136719,-0.192383,-0.043701,0.113525
1550.060969,-0.077148,0.639648,10.242188,-0.297363,-0.209961,0.104980
1550.070290,-0.151367,0.386719,10.029297,-0.376221,-0.393555,0.157471
1550.079610,-0.086914,0.464844,9.935547,-0.244873,-0.542480,0.078613
1550.088930,0.002930,0.323242,9.935547,-0.148682,-0.498535,0.104980
1550.098251,-0.078125,0.600586,9.843750,0.070068,-0.454834,0.017334
1550.107571,-0.006836,0.373047,9.810547,-0.026123,-0.384766,0.034912
1550.116892,0.063477,0.516602,9.787109,0.026367,-0.332275,0.069824
1550.126212,-0.076172,0.665039,9.860352,-0.017334,-0.113525,0.096191
1550.135533,-0.035156,0.623047,9.768555,-0.262451,-0.122314,-0.061279
1550.144853,0.071289,0.342773,9.765625,-0.349854,-0.061035,0.104980
1550.154173,0.002930,0.604492,9.617188,-0.192383,0.087646,0.052490
1550.163494,-0.030273,0.593750,9.726562,-0.341064,0.183838,0.043701
1550.172814,0.022461,0.574219,9.753906,-0.428711,0.306396,0.008545
1550.182135,0.015625,0.529297,9.640625,-0.446045,0.411377,0.113525
1550.191455,-0.013672,0.710938,9.742188,-0.489990,0.525146,0.096191
1550.200776,0.000000,0.410156,9.750000,-0.796143,0.525146,0.052490
