timestamp_s,roll,pitch,yaw
349.299817,1.929490,-0.232580,136.686580
349.499817,1.770970,-0.540910,136.417840
349.699817,1.553240,-0.572750,136.149640
349.899817,1.692910,-0.420420,135.862940
350.099816,2.111900,-0.810860,135.665940
350.299816,2.326790,-0.676660,135.471930
350.499816,2.197340,-0.039210,135.361060
350.699816,2.123640,-0.410570,135.279940
350.899816,1.953270,-0.221140,135.167520
351.099816,1.763860,-0.410820,135.093530
351.299816,1.715230,-0.562000,135.066230
351.499816,1.745700,-0.616730,135.033060
351.699816,1.875840,-0.368350,135.051130
351.899816,1.967340,-0.473590,135.193990
352.099815,1.854860,-0.512980,135.449140
352.299815,1.734930,-0.240750,135.899330
352.499815,1.326510,-0.235810,136.416100
352.699815,1.368760,-0.276780,137.121760
352.899815,1.494340,-0.607780,137.945750
353.099815,1.422970,-1.126200,138.712620
353.299815,1.470390,-0.358010,139.883670
353.499815,1.436630,-0.658680,141.145270
353.699815,1.352300,-0.999780,142.743600
353.899814,1.345950,-0.705150,144.773100
354.099814,1.097670,-0.601660,147.246880
354.299814,1.379020,-0.711420,150.249110
354.499814,1.481660,-0.656810,153.413790
354.699814,2.004530,-1.098360,156.423930
354.899814,2.077420,-1.173790,159.399650
355.099814,2.180040,-0.696350,162.417320
355.299814,2.025850,-0.895790,165.374020
355.499814,1.769910,-1.428590,168.335200
355.699814,1.519950,-1.644380,171.331460
355.899813,1.282980,-1.796670,174.312940
356.099813,0.915890,-2.041480,177.300140
356.299813,0.410640,-2.147350,180.429160
356.499813,0.323050,-1.978950,183.582220
356.699813,0.396180,-1.648960,186.813460
356.899813,0.609240,-1.257860,189.976420
357.099813,1.110050,-0.611310,193.404770
357.299813,1.454850,-0.517780,196.852890
357.499813,1.997940,-0.724690,200.195180
357.699812,2.270160,-0.599680,203.554110
357.899812,2.436370,-0.617350,206.779610
358.099812,2.477100,-0.344160,209.923890
358.299812,2.696540,-0.546940,212.684340
358.499812,2.521830,-0.759420,215.175360
358.699812,2.619760,-0.751530,217.542330
358.899812,2.737980,-0.707140,219.643710
359.099812,2.718220,-0.681910,221.388560
359.299812,2.671890,-0.724430,222.891080
359.499812,2.822730,-0.950900,223.883020
359.699811,2.991170,-0.987640,224.345570
359.899811,3.154400,-0.897900,224.468620
360.099811,3.138670,-0.660240,224.479960
360.299811,3.241140,-0.522810,224.549210
360.499811,3.298710,-0.571260,224.564770
360.699811,3.382060,-0.327230,224.538170
360.899811,3.296790,-0.098250,224.523470
361.099811,3.159640,-0.074520,224.542990
361.299811,2.957610,-0.069810,224.624930
361.499811,2.888750,0.051790,224.810050
361.699810,2.814200,0.134810,225.174330
361.899810,2.813680,0.131210,225.784910
362.099810,2.727580,0.423220,226.622870
362.299810,2.533450,0.543730,227.787130
362.499810,2.338110,0.317780,229.249290
362.699810,2.115790,0.186640,231.055840
362.899810,2.040580,0.017810,233.254040
363.099810,2.112570,-0.141760,235.722060
363.299810,2.098530,-0.175440,238.336900
363.499809,2.025080,-0.214350,241.210360
363.699809,2.208500,-0.246930,244.209410
363.899809,2.436090,-0.343080,247.140390
364.099809,1.465700,0.077880,250.123930
364.299809,0.822420,0.359160,253.515360
364.499809,0.730540,0.415460,256.964880
364.699809,0.199500,0.562040,260.344170
364.899809,0.163450,0.743750,263.292660
365.099809,-0.125680,1.158830,266.027250
365.299809,-0.742840,1.751960,268.608140
365.499808,-0.632610,2.149180,270.944430
